Asset Name;Asset Description;BrandSubbrand;Created;Copyright;Tags;Path to Assets;Archived;New Filename;fileextension;group;clientteam;assettype;assetsubtype;year;campaign;productgroup;product;productsize;productsubtype;productgender;numberofpeople;person;teammarks;gender;shottype;sport;assetstatus;market;platformrights;jobid;No Tags;No Date
G_12oz_LSE_ML_FP_P_14_12247;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_FP_P_14_12247.png;0;G_12oz_LSE_ML_FP_P_14_12247.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_IP_Angle_P_14_12548;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_IP_Angle_P_14_12548.png;0;G_12oz_LSE_ML_IP_Angle_P_14_12548.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_IP_P_14_12548;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_IP_P_14_12548.png;0;G_12oz_LSE_ML_IP_P_14_12548.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_LL_Angle_P_14_12545;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_LL_Angle_P_14_12545.png;0;G_12oz_LSE_ML_LL_Angle_P_14_12545.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_LL_P_14_12545;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_LL_P_14_12545.png;0;G_12oz_LSE_ML_LL_P_14_12545.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_OR_Angle_P_14_12248;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_OR_Angle_P_14_12248.png;0;G_12oz_LSE_ML_OR_Angle_P_14_12248.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_OR_P_14_12248;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_OR_P_14_12248.png;0;G_12oz_LSE_ML_OR_P_14_12248.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_ST_P_14_12237;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_ST_P_14_12237.png;0;G_12oz_LSE_ML_ST_P_14_12237.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_STR_Angle_P_14_12237;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_STR_Angle_P_14_12237.png;0;G_12oz_LSE_ML_STR_Angle_P_14_12237.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Fierce_BlueCherry;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Fierce_BlueCherry.psd;0;GAT_GTQ_12oz_Fierce_BlueCherry.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Fierce_FruitPunchBerry;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Fierce_FruitPunchBerry.psd;0;GAT_GTQ_12oz_Fierce_FruitPunchBerry.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Fierce_Grape;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Fierce_Grape.psd;0;GAT_GTQ_12oz_Fierce_Grape.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Frost_CascadeCrash;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Frost_CascadeCrash.psd;0;GAT_GTQ_12oz_Frost_CascadeCrash.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Frost_GlacierCherry;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Frost_GlacierCherry.psd;0;GAT_GTQ_12oz_Frost_GlacierCherry.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
